@relation 3f2eeba7

@attribute trump numeric
@attribute congress numeric
@attribute review numeric
@attribute obama numeric
@attribute share numeric
@attribute nordstrom numeric
@attribute senate numeric
@attribute pos numeric
@attribute neg numeric
@attribute neu numeric
@attribute timestamp numeric
@attribute corpus {Conservative,Liberal}

@data
1,0,0,0,0,0,0,0.104889,0.200333,0.695,1486540800,Conservative
1,0,0,0,1,0,0,0.217444,0.131889,0.651,1486713600,Conservative
0,0,0,0,0,1,0,0.3136,0.1034,0.5832,1486800000,Conservative
0,0,0,0,0,0,0,0.116667,0.146833,0.736833,1486713600,Conservative
1,0,0,0,0,0,0,0.044,0.180333,0.775667,1486713600,Liberal
0,0,0,0,0,0,0,0.1725,0.197,0.6305,1486713600,Liberal
1,0,0,0,0,0,0,0.12587,0.156217,0.630913,1486627200,Conservative
0,0,1,0,0,0,0,0.151778,0.166222,0.682074,1486454400,Conservative
0,0,0,0,0,0,0,0.1765,0.067,0.7565,1486627200,Conservative
0,0,0,0,0,0,0,0.162375,0.127875,0.7095,1486108800,Liberal
0,0,0,0,0,0,0,0.229304,0.10987,0.660783,1486800000,Liberal
0,0,0,0,0,0,0,0.330667,0.042,0.627333,1486800000,Liberal
0,0,0,0,0,0,0,0.201,0.15125,0.6475,1486627200,Conservative
0,0,0,0,0,0,0,0.1856,0.1454,0.6689,1486022400,Conservative
0,0,0,0,0,0,0,0.287089,0.074467,0.638444,1486800000,Liberal
1,0,0,0,0,0,0,0.1345,0.069611,0.629278,1486713600,Conservative
1,0,0,0,0,0,0,0.204,0.0555,0.7405,1486713600,Conservative
0,0,0,0,0,0,0,0.148333,0.085889,0.654889,1486713600,Conservative
0,0,0,0,0,0,0,0.246909,0.215909,0.537,1486800000,Conservative
0,0,0,0,0,0,0,0.159917,0.115417,0.724833,1486713600,Conservative
1,0,0,0,0,0,0,0.225625,0.153625,0.620625,1486800000,Liberal
0,0,0,0,0,0,0,0.206333,0.029333,0.764333,1486540800,Conservative
1,0,1,0,0,0,0,0.247875,0.102708,0.649458,1486540800,Conservative
1,0,0,0,0,0,0,0.214353,0.114,0.671529,1486540800,Conservative
0,0,0,0,0,0,0,0.170889,0.129,0.700111,1486713600,Conservative
0,0,0,0,0,0,0,0.329095,0.089429,0.5815,1486800000,Liberal
0,0,0,0,0,0,0,0.190848,0.15797,0.651333,1486800000,Conservative
0,0,0,0,0,0,0,0.163,0.0735,0.7635,1486627200,Conservative
0,0,0,0,0,0,0,0.168,0.094,0.7385,1486627200,Conservative
1,0,0,0,0,0,0,0.129393,0.164464,0.634679,1486800000,Conservative
0,0,0,0,0,0,0,0.132,0.156,0.712286,1486713600,Conservative
0,0,0,0,0,0,0,0.20425,0.116583,0.679167,1486713600,Conservative
1,0,0,0,0,0,0,0.2092,0.0834,0.7078,1486540800,Conservative
0,0,0,0,0,0,0,0.185083,0.100167,0.714833,1486627200,Conservative
0,0,1,0,0,0,0,0.143077,0.143769,0.713308,1486627200,Conservative
0,0,0,0,0,0,0,0.2119,0.1486,0.63945,1486713600,Conservative
0,0,1,0,0,0,1,0.138929,0.167857,0.693429,1486454400,Conservative
0,0,0,0,0,0,0,0.135375,0.13675,0.728125,1486800000,Conservative
1,0,0,0,0,0,0,0.093444,0.335333,0.571222,1486627200,Conservative
0,0,0,0,0,0,1,0.13312,0.17276,0.69408,1486540800,Conservative
1,0,0,0,0,0,0,0.133333,0.131333,0.735167,1486713600,Conservative
0,0,0,0,0,0,0,0.2,0.067,0.733,1486713600,Conservative
1,0,0,0,0,0,0,0.129,0.2531,0.6177,1486368000,Conservative
0,0,0,0,0,0,0,0.209,0.149333,0.641667,1486540800,Liberal
1,0,0,1,0,0,0,0.1854,0.080333,0.734267,1486713600,Liberal
0,0,0,0,0,0,0,0.204,0.0575,0.738,1486627200,Conservative
1,0,1,0,0,0,0,0.1332,0.1517,0.7153,1486540800,Conservative
0,0,0,0,0,0,0,0.223333,0.0844,0.6923,1486800000,Liberal
